CODE;RAISON SOCIALE;ADRESSE;CP;VILLE;TEL.;FAX; EMAIL;ACTIF;REGLEMENT
LAU01;AUDATE Societe;Z.I. DES GRIVES  ;74137;MARIGNY ST MARCEL;04 37 64 53 16;04 37 01 29 07;N.Kyle@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
JOU1;AUDRAN TRAVAUX; 13 BOULEVARD MONGE ;69330;MEYZIEU;04-72-45-11-27;;B.Cole@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AUT4;AUTO BRUN;ROUTE DE LYON  ;38100;PASSINS;04 74 80 52 92;04 74 80 20 38;J.Ulysses@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
AUT3;AUTO MECA;36 AVE MARCELIN BERTHELOT  ;38100;GRENOBLE;04.72.14.54.35;04.38.49.08.80;RachelJ@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AUT0;AUTO PRESS;36 RUE DU PONT  ;69380;LOZANNE;04-74-26-10-42;04 74 26 28 49;LJustin@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AUT1;AUTO TECHNIK;4 ALLEE CLAUDE DEBUSSY  ;69130;ECULLY;04 26 45 40 05;04 37 45 40 40;HallaD@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
AUTO0;AUTOBARSUD; 425 COURS EMILE ZOLA ;69100;VILLEURBANNE;04 78 41 11 11;04 72 37 25 59;KyraG@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
AUTO2;AUTOHIDE;RUE LOUIS LABBE ZA CHAPOTIN SUD ;69970;CHAPONNAY;; ;DarylG@media.org;Non;CHEQUE A RECEPTION FACTURE
AUT01;AUTOLUBIN;1 RUE DE LA LIGNE DE L'EST  ;69100;VILLEURBANNE;04.72.15.00.00;04.72.15.97.78;QuinJ@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AUTO1;AUTOLYLOC;40 RUE DE BRUXELLES  ;69100;VILLEURBANNE;07.62.30.10.10;04.28.10.43.42;KirbyW@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
AUT2;AUTOMAK SAS;25, ROUTE DE GENEVE  ;61100;ST PRIEST;;;DariaD@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AUTO;AUTOPELLE;ZI ROUTE NATIONALE 7  ;38137;CHANAS;474843060;474843603;C.Kareem@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
AUTPL;AUTOPRESTO; 935 RD 342 FONTBLANCHE ;69700;ST JEAN DE TOUSLAS;06 11 72 38 10;;L.Gary@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
ALI0;AUTOSTOX;45 RUE AMPERE  ;69680;CHASSIEU;04 72 79 08 08;;G.Bernard@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
ATB0;AUV TT;58 GRANDE RUE DE LA CROIX ROUSSE ;69004;LYON 04;04.78.20.79.30;04.78.21.79.84;L.Beau@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
AVEN0;AVENIR 45;289 RUE DE L'INDUSTRIE ;42337;LA TALAUDIERE;04.77.56.09.45;04.27.40.10.45;M.Russell@media.org;Oui;CHEQUE A RECEPTION FACTURE
TRA42;AVENIR SAS; 10 RUE AMPERE;69680;CHASSIEU;04.72.05.30.47;04.26.23.90.68;YaelA@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
AXE0;AXE30KO; 25 RUE TAGUIN ;3000;MOULINS;04-70-46-85-85;04-70-46-85-80;AHerrod@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
AXEO0;AXEO SUD 13;113 AV. FRANCIS DE PRESSENCE  ;69200;VENISSIEUX;04 78 01 45 60;04 78 76 41 75;MeganO@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
AXA0;AXIALO;36 RUE DU DAUPHINE  ;61100;ST PRIEST;04 26 25 19 89;04 78 21 97 68;IndigoB@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
AXC0;AXXESS IT;73 RUE BARBEZAT  ;69137;DECINES CHARPIEU;04 78 49 42 38;;JoanD@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
MAY0;AYOUD SAS;37 BOULEVARD LAURENT GERIN  ;69200;VENISSIEUX;;;TamaraL@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
DIA0;AZIA TRAVAUX;90 RTE DE MARSEILLE  ;26000;VALENCE;04 72 47 02 02;04 72 47 01 11;AureliaR@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
CHAZ0;AZOT'AIR;ZI DE LA LAUZE 11 RUE MARYSE BASTIE ;33630;ST JEAN DE VEDAS;04.67.27.13.30;04.67.07.39.55;A.Jonas@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
AZS01;AZUR SERVICES; 16 RUE MOLIERE ;69006;LYON 06;04 78 75 31 32;;P.Lamar@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BDB0;B.D.SERVICES;9,AVENUE DU PONT DE TASSET  ;74960;MEYTHET;04.37.67.72.36;04.37.57.59.43;M.Ashton@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BLI0;B.L.I. COMTE;26-28-30 RUE DE GERLAND  ;69007;LYON;04.78.72.46.26;04.72.73.27.49;S.Kuame@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BES0;B.P.A.;5 RUE DE LA PAULE  ;39700;SERMANGE;04.78.80.40.40;04.78.80.11.18;MiriamG@media.org;Oui;CHEQUE A RECEPTION FACTURE
BPA0;B.P.A. 07;11 ROUTE DE ROANNE  ;69537;AMPLEPUIS;04.74.89.31.11;04.74.89.34.59;@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BPS0;B.P.S. PRESTO; 15 AVENUE BARTHELEMY THIMONIER ;69300;CALUIRE ET CUIRE;04.72.78.31.34;04.78.11.10.02;ZenaK@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BSA0;B.S.ATLAS; MAS DU PAPE ;46100;FIGEAC;06 80 70 96 26;;KZachary@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BELO0;BAHDRI TRAVAUX; 12 AVENUE DE VERDUN ;42000;ST ETIENNE;04.77.74.12.46;04.77.52.36.87;VannaF@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BAI0;BAILTAIN  SAS;IMMEUBLE LINEA 1 RUE DU GENERAL LECLERC ;92047;PARIS LA DE€šFENSE;04 27 19 30 37;04 78 58 32 69;ArianaD@gmail.fr;Non;CHEQUE A RECEPTION FACTURE
BAL3;BALABA;3 IMPASSE DU POLYGONE SITE GENAS ;42300;ROANNE;;04.77.72.11.73;UrielleT@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BAL0;BALMETTRAN;1 ALLEE DES PINS  ;69110;STE FOY LES LYON;04 72 39 12 83;04 78 22 08 16;ZCairo@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BAR1;BARD LYON;75, RUE DE GERLAND  ;69007;LYON;04 72 73 48 38;;UnityR@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
ARD0;BARD SAS;12 RUE DES FRERES LUMIERES BP 108 ;69685;CHASSIEU  CEDEX;04.72.48.23.10;04.78.40.63.08;DebraT@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BON5;BARD TRAVAUX S.A.;12 RUE DES FRERES LUMIERES BP 108 ;69685;CHASSIEU CEDEX;VEHICULE FALAIZE;04.72.48.23.19;04.72.48.23.10;Oui;CHEQUE A RECEPTION FACTURE
BAD2;BARDOL LOGISTIQUE;ZA DES FAVIERES  ;69380;LISSIEU;04 78 47 63 00;04 78 47 61 49;06 80 02 80 27;Oui;CHEQUE A RECEPTION FACTURE
BAR02;BARDOL LOGISTIQUE;378 AV DE L'INDUSTRIE   ;69140;RILLIEUX LA PAPE;04.26.40.32.32;04.78.23.60.89;OdetteT@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
JAR1;BARJAT SERVICE ; 5 AVENUE LIONEL TERRAY ;69330;MEYZIEU;;;HXavier@media.org;Oui;CHEQUE A RECEPTION FACTURE
BAS2;BASE QUART S.A.;9 RUE JEAN ROSTAND  ;69740;GENAS;04 72 47 70 40;04 78 90 42 03;CourtneyO@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
MAS4;BASSON ;ROUTE DES VOIRONS  ;74140;BALLAISON;04.37.94.14.88;04.37.35.48.25;YolandaL@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BAI2;BAT GONYGE;80, RUE PASTEUR  ;42320;LA GRAND CROIX;04 77 73 22 30;04 77 73 60 69;;Oui;CHEQUE A RECEPTION FACTURE
HATM0;BATMAN ;9 BOULEVARD EDMOND MICHELET  ;69008;LYON;04 26 90 25 25;04 37 90 25 20;;Oui;CHEQUE A RECEPTION FACTURE
BAU0;BAUGET;13 RUE VILLARD  ;69370;BRON;06.14.16.22.90;;AimeeI@media.org;Oui;CHEQUE A RECEPTION FACTURE
AUPL0;BAUPLY;29 RUE PIERRE ET MARIE CURIE  ;69680;CHASSIEU;04 78 90 21 47;;UZachery@ets.com;Oui;CHEQUE A RECEPTION FACTURE
AYA01;BAYA SAS; 320 AVENUE BERTHELOT ;69008;LYON 08;;;VCole@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
BAY1;BAYARDIN S.A.;20 RUE VILLEROY  ;69003;LYON;04.78.60.32.10;04.78.60.41.18;BlossomB@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BAY2;BAYICK;5 / 7 RUE DU TRAITE DE ROME  ;69780;MIONS;04 72 29 13 17;;@gmail.fr;Oui;CHEQUE A L'ENLEVEMENT
FAZ0;BAZZIO ;RUE DES PLANTIERES  ;69380;CHASSELAY;04.78.47.30.35;04.78.47.08.17;BriannaR@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
CAR6;BBE S.A.;RUE PASTEUR  ;32270;CHASSE SUR RHONE;04.72.49.24.49;04.72.49.24.54;DawnP@trans.org;Oui;CHEQUE A RECEPTION FACTURE
ALL2;BBL ARDECHE;22 BOULEVARD YVES FARGES  ;69007;LYON;04 78 69 07 56;04 78 58 14 69;EmmaP@orange.fr;Oui;CHEQUE A RECEPTION FACTURE
BBL01;BBLIO TRAVAUX;22,IMPASSE DE LA BALME  ;61100;ST PRIEST;04 72 34 14 90;04 78 54 15 76;JenniferA@services.fr;Oui;CHEQUE A RECEPTION FACTURE
BBP01;BBP;81 RUE DU PROGRES  ;69680;CHASSIEU;;04.78.54.15.76;04.72.34.14.90;Oui;CHEQUE A RECEPTION FACTURE
BCA0;BCA SERVICE;96 AVENUE DU PROGRES  ;69680;CHASSIEU;04 78 26 87 11;06 81 85 17 42;E.Benedict@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BRO2;BC-COUR;ZA DU MOULIN GALINAY  ;42230;ROCHE LA MOLIERE;04.77.90.06.76;;D.Hayes@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BCTR0;BCDRIZZU TRAVAUX;CHEMIN DU GAUD  ZI Z.I. LES RONZIERES ;69530;BRIGNAIS;04.78.05.27.91;;L.Wing@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BLA2;BCHALL ETS;16, RUE FERRACHET IMMEUBLE LES TERRASSES ;38360;ST JEAN DE BOURNAY;04.75.59.90.97;;W.Craig@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
BEL3;BEL ETC;127 AVENUE FRANKLIN ROOSEVELT ;69137;DECINES CHARPIEU;04.78.26.99.09;04.72.37.87.37;KylynnR@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
BRE3;BELAT SARL;36, ROUTE DE LYON  ;38300;DOMMARIN;04.74.93.35.76;04.74.93.78.76;RFrancis@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BEC0;BELHARD BTP;  ;;;;;BuffyW@media.org;Oui;CHEQUE A RECEPTION FACTURE
BEL2;BELLARNO;ZONE ARTISANALE LES HAUTES SERRES ;26190;ST LAURENT EN ROYANS;04.75.48.64.03;04.75.47.10.71;CRoss@media.org;Oui;CHEQUE A RECEPTION FACTURE
BEL4;BELOUKARM; LE GITE ;38540;HEYRIEUX;;;XylaK@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BEL0;BELUX;4 RUE D'AQUITAINE  ;69330;MEYZIEU;;;CDuncan@trans.org;Oui;CHEQUE A RECEPTION FACTURE
BEL1;BELUX;4 RUE JEAN MACE  ;69360;ST SYMPHORIEN D'OZON;04 78 02 81 36;04 78 02 06 28;ChavaW@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BEMS0;BEMARS;;74078;HEILBRONN;;;DHasad@export.com;Oui;CHEQUE A RECEPTION FACTURE
BERN2;BENNI-TRANS;10 PLACE AMBROISE COURTOIS  ;69008;LYON 08;;;NoelS@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
BER7;BERCO SAS;RD 2209 - LES PUGETS BP 49 ;6701;ST LAURENT DU VAR CEDEX;04.93.31.61.29;04.93.31.82.85;RuthX@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BER1;BERGERNE ; 9 RUE DE COMBOIRE ;38130;ECHIROLLES;04.76.09.63.81;04.76.33.36.82;IEaton@orange.fr;Oui;CHEQUE A RECEPTION FACTURE
BERG0;BERGEROT TRAVAUX;25 CHEMIN DE LA BATTERIE  ;38280;JANNEYRIAS;;;LacotaM@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BER8;BERN TRAVAUX;13 RUE CAILLER  ;1636;BROC;41269211628;;ACade@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
BERNI;BERNIS FP;RUE YON LUG ;69310;PIERRE BENITE;04.78.54.12.79;;LarissaJ@export.com;Oui;CHEQUE A RECEPTION FACTURE
BER12;BERNTRUCK 38;RUE JOSEPH CUGNOT ZI NO 2 ;37300;JOUE LES TOURS;02.47.68.68.68;02.47.68.68.69;VeronicaK@services.fr;Oui;CHEQUE A RECEPTION FACTURE
BERT1;BERTHAUDIN;1422 ROUTE DES PUGETS B.P. 49 ;6701;ST LAURENT DU VAR CEDEX;04 93 31 61 29;;LanaC@groupe.com;Oui;CHEQUE A L'ENLEVEMENT
BAR3;BERTODE;452 CHEMIN L'ISLON  ;32270;CHASSE SUR RHONE;04 26 20 21 22;04 37 20 21 21;@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
JUN0;BERTRAND;;43800;VOREY;06.10.12.82.36;;EricaT@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BESL0;BESLER 07; 40 AVENUE DE SAINT-MARCELLIN ;42160;BONSON;04 77 55 06 23;;MacKenzie.Jerome@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BES2;BESSONNAT TP;AMARIES  ;69560;ST ROMAIN EN GAL;04 74 53 26 67;;RhodaP@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BES1;BESSY TRAVAUX; 28 RUE DES ARDENNES ;21076;DIJON CEDEX;03 80 28 85 85;03 80 28 85 22;AIra@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
EYR0;BEYRARD SA; 10 RUE DES COMMUNAUX ;1604;TREVOUX CEDEX;04 74 00 91 82;;SelmaK@media.org;Oui;CHEQUE A RECEPTION FACTURE
BELOU;BEZARS SAS;836 ROUTE DE TRAMOYES  ;1706;MIRIBEL CEDEX;04 72 26 28 28;04 78 91 22 30;ShanaH@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BFT1;BF69 TRAVAUX;PARC ACTIVITES ACTI SUD  ;71100;SEVREY;03.85.90.90.20;03.85.90.90.25;HallaW@ets.com;Oui;CHEQUE A RECEPTION FACTURE
XXXX;BFS;LES BOURNES  ;38122;MONTSEVEROUX;04.74.59.27.65;04.74.78.12.23;VKnox@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BFT0;BFTX SAS;38 RUE DE PRESSENSE  ;69520;GRIGNY;04 72 24 11 82;;;Oui;CHEQUE A RECEPTION FACTURE
BGT01;BG26 TRAVAUX;LA CHASSAGNE  ;69480;ANSE;04.74.67.01.82;;G.Alexander@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BIA0;BIARDOUX;LA VORZELAS  ;42480;LA FOUILLOUSE;04 77 30 15 97;04 77 30 15 48;C.Cullen@services.fr;Oui;CHEQUE A RECEPTION FACTURE
BIA1;BIARDOUX SAS;4 RUE LAZARE CARNOT  ;61000;ALENCON;02.33.15.22.13;02.33.15.22.59;H.Eagan@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
FIC0;BICHET SAS;1 RUE DU RUISSEAU ZI DE THARABIE ;38297;ST QUENTIN FALLAVIER;04 74 95 58 27;04 74 95 69 81;BlytheT@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BLA5;BILLAIN TRAVAUX;81 AVENUE DU PROGRES  ;69680;CHASSIEU;04 72 89 15 19;04 72 90 45 73;;Oui;CHEQUE A RECEPTION FACTURE
BIOM0;BIOMINIS;131 RUE DE L'INDUSTRIE  ;8330;VRIGNE-AUX-BOIS;03.24.59.65.70;03.24.37.87.89;NaomiE@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BIO01;BIOP TRANS;  701 CHEMIN DE LA VAILLE ;83260;LA CRAU;04.94.66.09.87;IDEM;RhonaE@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
CHR0;BIRARS SUD;100 AVENUE DU GL LECLERC  ;69300;CALUIRE ET CUIRE;04 26 40 14 01;04 72 27 02 70;Casey.Louis@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
DEB1;BIZERD SAS;BDS 5 RUE FRANCINE FROMONT ZI EST;69120;VAULX EN VELIN;04.78.80.91.40;04.78.80.91.42;AKieran@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BTS0;B'JIM SERVICE;19, RUE BERNARD PALISSY  ;78360;GARGENVILLE;01.34.97.17.17;01.34.97.19.87;W.Malachi@media.org;Oui;CHEQUE A RECEPTION FACTURE
BKL0;BKLEAN ; B.P. 25 ;76191;YVETOT CEDEX;04 72 79 26 66;04 78 90 32 28;D.Randall@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
VAC2;BLACHON SA;20 RUE DE MAIL  ;69004;LYON;04.78.29.89.56;04.78.30.60.83;I.Stephen@ets.com;Oui;CHEQUE A RECEPTION FACTURE
LAH0;BLANI;11, RUE PIERRE TIMBAUD  ;69200;VENISSIEUX;04.92.08.88.00;72.10.12.43;S.Xenos@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
LAH1;BLANI;ZONE ARTISANALE  ;1600;SAINTE EUPHEMIE;04.74.00.22.63;04.74.00.57.04;SonyaV@media.org;Oui;CHEQUE A RECEPTION FACTURE
BLA7;BLANICEL Etablissement;10 RUE MARTIN LUTHER KING  ;49000;ANGERS;;;LaraC@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
TREM0;BLAYE SERVICES;34 RUE CHARLES MOSSANT  ;26300;BOURG DE PEAGE;04 75 72 25 04;04 75 70 17 80;KStephen@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BLA1;BLC TRAVAUX;20 RUE FRANCISQUE AYNARD  ;69200;VENISSIEUX;06 63 61 43 28;;SydneeC@ets.com;Oui;CHEQUE A RECEPTION FACTURE
ALA0;BLEEN  SAS;320 AVENUE BERTHELOT  ;69008;LYON;06.80.60.61.31;;Eden.Brent@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BLOI0;BLOVI Societe;  ;1400;CONDEISIAT;04.74.10.40.52;04.74.10.36.41;AmberC@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
BMV0;BM ROLLE;95,CHEMIN DES CHAMPS FLEURIS  ;69480;MORANCE;04-78-43-68-88;;OriL@media.org;Oui;CHEQUE A RECEPTION FACTURE
AMB0;BMA TRANS;Z.I. DU THEIL  ;19200;USSEL;05.55.46.16.55;05.55.72.53.07;MayM@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BMS0;BMS;CHEMIN DES PRES ;1120;MONTLUEL;04.78.06.19.59;04.78.06.11.80;@ent.org;Oui;CHEQUE A RECEPTION FACTURE
BUNI0;BNI'HOP;195 AVENUE ROGER SALENGRO  ;69120;VAULX EN VELIN;06 03 62 49 43;;SigourneyG@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BOU4;BOCATION;14, RUE MARIUS CHARDON  ;69310;PIERRE BENITE;04.72.39.01.04;04.72.39.01.30;CValentine@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
BOU05;BODIB 69;28 RN6   LES TILLEULS BP 27 ;69720;ST BONNET DE MURE;04 78 40 95 33;04 78 40 42 79;LaceyR@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BOU7;BOET'HALL;70 RUE LEON BLUM  ;69100;VILLEURBANNE;06 64 18 52 52;0821 46 56 05;MReuben@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
BOI1;BOIS TRAVAUX;CHEMIN MURE  ;69780;ST PIERRE DE CHANDIEU;04 72 48 08 99;04 72 48 00 52;JemimaD@ets.com;Oui;CHEQUE A RECEPTION FACTURE
DUB0;BOISSEAU ;LES SAULLEES 40 AVENUE JEAN JAURES ;69600;OULLINS;;;LeighT@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
BON6;BONDANT SA;376 RTE DE STASBOURG BP 10125 ;1362;VIRIAT CEDEX 2;04.74.45.82.92;04 74 45 78 55;BrielleC@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
FRANS;BONHOMME;ZI LES TROQUES BP 31 ;69630;CHAPONOST;;04.78.56.25.40;04.78.56.27.24;Oui;CHEQUE A RECEPTION FACTURE
BON0;BONNEFUX;AVENUE DES ALPES Z.A.E. DES GRANGES ;74137;RUMILLY;04 37 64 56 84;04 37 64 58 78;Jamalia.Devin@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BON8;BONUR BTP;26 RUE PARMENTIER  ;69600;OULLINS;04 72 66 39 06;04 72 66 39 01;ImaniV@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BOR01;BORELLISO;18 AV DE LA LOUISIANE BP325 ;38523;ST EGREVE CEDEX;04.38.02.93.90;04.38.02.39.75;DestinyG@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
DES1;BOSKAL EARL;195 AVENUE ROGER SALENGRO  ;69120;VAULX EN VELIN;04.72.81.72.26;;RElliott@media.org;Oui;CHEQUE A RECEPTION FACTURE
COL0;BOTTO;14 AVE DU FAUCIGNY - BP 13  ;74131;BONNEVILLE CEDEX;04.37.25.15.40;04.37.25.78.26;PatriciaR@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
BOU2;BOUAVAUX;Z.I. DU LAC  ;7000;PRIVAS;04.75.64.02.22;;XerxesW@media.org;Oui;CHEQUE A RECEPTION FACTURE
BOU5;BOUCHY Ets;15 AVENUE DES SPORTS  ;1000;BOURG EN BRESSE;;;JemimaS@societe.fr;Oui;CHEQUE A RECEPTION FACTURE
JPB0;BOUQUOT TP;376 ROUTE DE STRASBOURG BP 10125 ;1362;VIRIAT CEDEX 2;04 72 25 12 00;04 78 06 58 66;KarynN@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BOU1;BOURCANTO;17 RUE DE L'AIGLE Z.I. DU DAUPHINE ;69780;ST PIERRE DE CHANDIEU;04 78 40 21 45;04 72 22 00 73;Gloria.Lucian@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
DEB0;BOURGEAL;16 rue des 14 Martyrs Z.I.    B.P. 5 ;7237;LE POUZIN;04 75 85 92 55;04 75 85 94 91;D.Quentin@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BOU0;BOURGEOIS S.A.;337 ROUTE DE GENAS  ;69370;BRON;;;;Oui;CHEQUE A RECEPTION FACTURE
BOV0;BOVI 69; 57 RUE DE LA BELLE ANGEVINE ;77230;DAMMARTIN EN GOELE;01 60 03 34 26;;I.Tate@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BEN8;BPROMOTION;290.AVENUE DE JOUX ZI NORD   BP 199 ;69657;VILLEFRANCHE/SAONE CEDEX;04.74.02.24.90;04.74.68.70.77;W.Harrison@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
FRA6;BRAIKIN LOCATION;18,AV DE LA LOUISIANE FONTANILE CORNLLION  BP325 ;38523;ST EGREVE CEDEX;04.38.02.39.70;04.38.02.39.75;AdrienneS@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BRA0;BRANDYCK;ZA DE CHAMBAUD  ;43620;ST ROMAIN LACHALM;VOIR DUNITRANS;04.71.75.31.33;04.71.75.36.36;Oui;CHEQUE A RECEPTION FACTURE
REGIS;BREGIS ; RUE DES LANDES ;22000;POITIERS;05-49-41-57-57;05-49-41-57-58;ImeldaK@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
BRE2;BREGNOT; LACROST ;71700;TOURNUS;03.85.10.01.35;03.85.10.26.09;JamaliaT@ent.org;Oui;CHEQUE A RECEPTION FACTURE
BRE4;BRESCIEZ; Z.I. DES TOUCHES ;53093;LAVAL CEDEX 9;02.43.67.45.61;02.43.67.45.80;Ale,Clayton@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BOUS0;B'RESINES; 4, RUE DU DAUPHINE ;69960;CORBAS;;;LLane@sfr.fr.;Oui;CHEQUE A RECEPTION FACTURE
BTS1;BRESS'SERVICES;Z.A. LAFAYETTE B.P. 4 ;38790;ST GEORGES D'ESPERANCHE;04.78.96.27.26;04.78.96.27.75;XylaK@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BRO4;BRETRANS;RUE E. BELIN Z.I. CHATEAUFARINE   BP 2015 ;23737;BESANCON CEDEX;03 81 41 11 90;03 81 41 30 87;Britanney.Nissim@gmail.com;Oui;CHEQUE A RECEPTION FACTURE
BRINK;BR'EVOLUTION;7 RESIDENCE DE PASSIEU  ;38460;ST ROMAIN DE JALIONAS;06.84.00.41.48;;A.Cullen@gmail.fr;Oui;CHEQUE A RECEPTION FACTURE
BOU12;BRIEL TRAVAUX;2 RUE PIERRE MENDES FRANCE BP 80 ;69101;VAULX EN VELIN;04.26.45.35.36;04.37.45.08.59;A.Joseph@wanadoo.fr;Oui;CHEQUE A RECEPTION FACTURE
PIFF1;BRIFFAUT ; 22 RUE SEVERINE ;69100;VILLEURBANNE;04.72.81.25.30;;U.Hop@groupe.com;Oui;CHEQUE A RECEPTION FACTURE
RIG1;BRIGGING SAS;82 AVENUE SIDOINE APOLLINAIRE  ;69009;LYON 09;06.46.41.00.89;;A.Keith@media.org;Oui;CHEQUE A RECEPTION FACTURE
BOY0;BRIVEN;5 BIS RUE DE CHALON/SAONE  ;69007;LYON;04 72 71 00 35;04 72 71 04 78;KirestinG@sfr.fr;Oui;CHEQUE A RECEPTION FACTURE
CBR0;BROC COURSES;40 RUE DE BRUXELLES  ;69100;VILLEURBANNE;06.46.41..00.89;;Macy.Derek@ets.com;Oui;CHEQUE A RECEPTION FACTURE
BRO0;BROCARCHE;LES PICARDIERES  ;42310;CHANGY;04 77 63 03 24;04 77 64 46 74;XylaN@trans.org;Oui;CHEQUE A RECEPTION FACTURE
AVR0;BROUX BATI; 24 ALLEE DES AVIATEURS ;1000;BOURG EN BRESSE;06.14.52.26.32;;JordanZ@orange.fr;Oui;CHEQUE A RECEPTION FACTURE
STR1;BRUMIAN;21, DOMAINE DE SOURZY  ;69700;MONTAGNY;;;JamaliaF@export.com;Oui;CHEQUE A RECEPTION FACTURE
RAOU0;BRUYERE SA;46 RUE LOUIS VERNAY  ;69390;VOURLES;04.78.05.30.80;;JordenT@services.fr;Oui;CHEQUE A RECEPTION FACTURE
